id,word,definition
854,lope,move along with long strides
855,fervor,warmth of feelings earnestness
856,lionize,treat as a famous person
857,expostulate,argue earnestly to dissuade correct or protest
858,epicurean,devoted to pleasure (sensuous enjoyment)
859,discourse,speech lecture
860,sumptuous,magnificent
861,noisome,offensive; disgusting (smell)
862,sophomoric,being immature
863,dogmatic,positive certain arbitrary without room for discussion
864,lassitude,weariness; tiredness
865,sanguine,cheerful; confident; optimistic
866,broach,bring up; announce; begin to talk about
867,irksome,tiresome
868,ostentation,display to obtain admiration or envy
869,requite,repay give in return
870,kibosh,"""block, halt, stop"""
871,imperious,commanding; haughty; arrogant
872,gauche,hence; awkward
873,craven,cowardly
874,prodigal,wasteful; reckless with money
875,brash,hasty rush; cheeky; saucy
876,presage,warning sign
877,supine,lying on the back slow to act passive
878,didactic,intended to instruct
879,verdant,fresh and green
880,desiccant,substance used to absorb moisture
881,philistine,a smug ignorant person one who lacks knowledge
882,palatial,magnificent
883,epiphany,A Christian feast celebrating the manifestation of the divine nature of Jesus to the Gentiles as represented by the Magi.
884,prodigious,enormous; wonderful
885,trifling,unimportant
886,intransigent,uncompromising
887,ensconce,To settle (oneself) securely or comfortably
888,heretic,"""recreant, protestant,skeptic"""
889,raconteur,person who tells anecdotes
890,ferment,substance become excited
891,perfidious,treacherous; faithless
892,agog,eager/excited
893,reactionary,opposing progress
894,hauteur,haughtiness
895,wile,a trick
896,qualm,feeling of doubt temporary feeling of sickness
897,dilettante,a lover of an art or science
898,rumple,make rough
899,curmudgeon,bad-tempered person
900,bequest,arrangement to give something at death
901,remonstrate,to protest object
902,propitious,auspicious; presenting favorable circumstances
903,drone,male bee person who isn't self-employed
904,stymie,to hinder obstruct or block
905,roll,call calling of names
906,inchoate,not yet fully formed; rudimentary; elementary
907,obtrusive,projecting; prominent; undesirably noticeable
908,reproach,scold upbraid
909,facetious,humorous; funny; jocular
910,rivet,fix take up secure metal pin
911,burgeon,grow forth send out buds
912,fatuous,without sense foolish; self-satisfaction
913,jibe,gibe; make fun of
914,baleful,harmful; ominous causing evil
915,rapacious,greedy (esp for money)
916,wan,"""looking ill, not bright"""
917,figurehead,carved image on the prow of a ship
918,fetid,stinking
919,overweening,presumptuously; arrogant; overbearing
920,preen,tidy/show self-satisfaction
921,vacillation,being uncertain hesitating
922,discountenance,refuse to approve of
923,eschew,avoid
924,provident,frugal; looking to the future
925,equanimity,calmness of temperament
926,pedantic,bookish showing off learning
927,extricable,that can be freed
928,barrage,artificial obstacle built across a river
929,impetuous,having sudden energy; impulsive
930,macerate,make or become soft by soaking in water
931,forswear,renounce; disallow; repudiate
932,mendicant,a beggar
933,hubris,arrogant; pride
934,atonement,repayment death of Jesus
935,saturnine,gloomy; dark; sullen; morose
936,supplicate,make a humble petition to
937,slur,join sounds/words (indistinct)
938,rueful,dejected
939,excoriation,severe criticism
940,skiff,small boat
941,soporific,producing sleep
942,profundity,depth
943,blandness,polite manner; comforting; uninteresting
944,ford,shallow place in a river (to cross)
945,cloture,closing device (in Parliament) to end a debate by voting
946,blithe,cheerful; casual; carefree
947,hallow,to make holy; consecrate
948,scabbard,sheath for the blade
949,egress,way out exit
950,boggle,To hesitate as if in fear or doubt
951,rant,use extravagant language
952,contemn,to scorn or despise
953,dereliction,deserting and leaving to fall into ruins
954,petrous,like a rock hard stony
955,benison,blessing
956,perspicacity,quick judging and understanding
957,tortuous,devious/not straightforward
958,seminal,like a seed constituting a source; originative
959,machination,plot; scheme (esp. evil)
960,mendacity,dishonesty
961,entreat,ask earnestly
962,restive,refusing to move reluctant to be controlled
963,prudish,easily shocked; excessively modest
964,perfidy,treachery breaking of faith
965,esoteric,abstruse intended only for a small circle of
966,labyrinthine,to entangle the state of affairs
967,incumbents,official duties
968,prune,dried plum silly person
969,depredation,plundering
970,molt,lose hair/feathers before new growing
971,contrite,filled with deep sorrow for wrongdoing
972,manacle,chains for the hands or feet
973,stigmatize,describe somebody scornfully
974,imbroglio,complicated and embarrassing situation
975,germane,relevant; pertinent to
976,goad,something urging a person to action
977,probity,uprightness incorruptibility principle
978,forage,food for horses and cattle
979,indigence,poverty
980,maladroit,tactless; clumsy
981,fervid,showing earnest feeling
982,vacuity,idleness
983,overhaul,examine thoroughly to learn about the condition
984,cravat,piece of linen worn as a necktie
985,vestige,trace or sign
986,specious,illogical of questionable truth or merit
987,cordon,line (of police acting as a guard)
988,flax,pale yellow (hair) a plant
989,aleck,one who considers himself smarter than others
990,poignant,deeply moving keen
991,exploit,brilliant achievement develop use selfishly
992,subsume,include under a rule
993,petulant,unreasonably; impatient
994,eddy,circular or spiral movement (e.g.. of wind)
995,rubicund,red and healthy
996,interdict,prohibit forbid
997,platitude,a trite or banal statement unoriginality
998,parsimonious,too economical; miserly
999,severance,severing
1000,ineluctable,certain; inevitable
1001,insouciant,unconcerned; carefree
1002,predilection,special liking mental preference
1003,halcyon,calm and peaceful
1004,flout,reject mock to go against (as in going against tradition)
1005,gouge,tool for cutting grooves in wood
1006,lugubrious,mournful; excessively sad
1007,upbraid,scold reproach
1008,chary,cautious; wary
1009,officious,too eager or ready to help offer advice
1010,onerous,needing effortl burdensome
1011,demagogue,person appealing not to reasons
1012,profligate,wasteful prodigal licentious extravagant
1013,feint,pretend
1014,cabal,a scheme or plot a group of plotters
1015,belligerent,(person nation) waging war
1016,impute,to attribute to a cause or source ascribe
1017,obsequious,too eager to obey or serve
1018,retard,check hinder
1019,deprecate,protest against; express disapproval of
1020,inveterate,deep-rooted. long-established
1021,mulct,"""to deprive (someone) of something, as by fraud, extortion, etc."""
1022,aplomb,self-confidence
1023,spurious,false; counterfeit
1024,propitiatory,conciliatory; appeasing; mitigating
1025,maudlin,sentimental in a silly or tearful way
1026,tautology,a repetition a redundancy
1027,dulcet,melodious; harmonious
1028,shunt,send from one track to another lay aside evade discussion
1029,inured,accustomed to adapted
1030,denouement,an outcome or solution; the unraveling of a plot
1031,plethora,glut
1032,forge,workshop for the shaping of metal to shape metal lead
1033,sordid,wretched; comfortless; contemptible
1034,cursory,quick; hurried
1035,argot,jargon; slang
1036,gregarious,living in societies liking the company
1037,sinuous,winding; undulating serpentine
1038,hone,stone used for sharpening tools
1039,impecunious,having little or no money
1040,desultory,aimless;haphazard; digressing at random
1041,augury,omenl sign
1042,odium,intense hatred or dislike
1043,vigilant,member of a vigilance committee
1044,propinquity,nearness in time or place affinity of nature
1045,salacious,obscene
1046,homiletics,act of preaching
1047,recalcitrant,disobedient
1048,harangue,a long passionate speech
1049,libertine,immoral person
1050,turgid,excessively ornate swollen or bloated
1051,epistle,letter
1052,foible,defect of character (a person is wrongly proud)
1053,harrow,to distress; create stress or torment
1054,inculcate,fix firmly by repetition
1055,eclat,"""Great brilliance, as of performance or achievement"""
1056,deposition,dethronement; depositing
1057,tangential,suddenly changeable
1058,countervail,counterbalance
1059,gainsay,to deny; to oppose
1060,middling,fairly good but not very good
1061,gossamer,soft light; delicate material
1062,stentorian,extremely loud and powerful
1063,resort,to frequently visit
1064,divestiture,taking off getting rid of giving up
1065,churl,bad-tempered person
1066,repertoire,"""A stock of plays, dances, or pieces that a company or a performer knows or is prepared to perform"""
1067,nary,not any; no;
1068,pinchbeck,An alloy of zinc and copper used as imitation gold; A cheap imitation
1069,finicky,finical
1070,temperance,abstinence from alcohol self-control moderation
1071,profane,worldly having contempt for God
1072,truculence,aggressiveness ferocity
1073,glean,gather facts in small quantities
1074,inveigh,to attack verbally; denounce; deprecate
1075,levee,formal reception/embankment
1076,diaphanous,transparent; gauzy
1077,diffidence,shyness
1078,trepidation,alarm excited state of mind
1079,tenuous,insubstantial flimsy weak
1080,rebuff,snub
1081,nugatory,trifling/worthless
1082,opprobrious,showing scorn or reproach
1083,pucker,wrinkle
1084,vitiate,lower the quality weaken the strength
1085,disinter,dig up from the earth
1086,foppish,like a man who pays too much attention to his clothes
1087,astringent,substance that shrinks
1088,detumescence,diminishing or lessening of swelling
1089,panegyric,formal praise eulogy
1090,flak,criticism; anti-aircraft guns
1091,distrait,distracted
1092,plod,continue doing something without resting
1093,refractory,stubborn; unmanageable; intractable
1094,ramify,to be divided or subdivided to branch out
1095,expedient,likely to be useful for a purpose
1096,fecund,fertile
1097,encomium,warm or glowing praise eulogy panegyric
1098,obloquy,abusively; detractive language; sharp criticism; vituperation
1099,trenchant,forceful effective vigorous extremely perceptive incisive
1100,disconcert,upset the self-possession of
1101,pugnacious,fond of in the habit of fighting
1102,quaff,drink deeply
1103,vituperate,curse abuse in words
1104,discomfit,confuse embarrass
1105,quail,lose courage turn frightened
1106,impudent,rash; indiscreet
1107,calumny,slander; aspersion
1108,nemesis,deserved and unavoidable punishment for wrong doing
1109,sublime,extreme; astounding
1110,peremptory,urgent; imperative; unchallenged; ending debate
1111,blandishment,flattery; coaxing
1112,rabble,mob crowd the lower classes of populace
1113,untoward,unfortunate inconvenient
1114,strut,a supporting bar
1115,voluble,fluent
1116,sermon,reproving a person for his faults
1117,prosaic,straightforward.; lacking in imagination and spirit
1118,bereft,rob or dispossess of something (material)
1119,fetter,to shackle put in chains
1120,cant,insincere talk/jargon
1121,glib,ready and smooth but not sincere
1122,turpitude,wickedness shamefulness
1123,raffish,showing vulgar in nature or appearance; tawdry
1124,implicate,to be involved
1125,asperity,roughness; harshness; ill temper; irritability
1126,ensign,flag/badge
1127,contumacious,insubordinate rebellious
1128,idyll,a carefree episode or experience
1129,quotidian,banal; everyday
1130,teetotal,oppose to alcohol
1131,veritable,real rightly named
1132,simper,(give a) silly/self-conscious smile
1133,mien,demeanor
1134,invective,abusive language; curses
1135,hirsute,hairy; shaggy
1136,impugned,challenged to be doubted
1137,umbrage,offense resentment
1138,meretricious,attractive on the surface but of little value
1139,incense,make angry
1140,surfeit,satiate feed to fulness or to excess
1141,endemic,epidemic
1142,sophistry,fallacious; reasoning faulty logic
1143,unencumbered,easy-going trifle
1144,felicitous,suitably expressed; well chosen; apropos
1145,hack,cut roughly; hired horse
1146,atavistic,something reverting to an earlier type
1147,mettle,quality of endurance or courage
1148,miseenscene,the stage setting or scenery of a play
1149,toady,obsequious flatterer
1150,peregrination,traveling about wandering
1151,forbear,refrain from; be patient; ancestor
1152,ecumenical,representing the whole Christian world
1153,incipient,beginning
1154,ineffable,to great to be described in words
1155,plaintive,mournful; melancholy; sorrowful
1156,pine,waste away through sorrow or illness
1157,ostensible,seeming appearing as such professed
1158,piquant,agreeably pungent; stimulating
1159,tout,"""To solicit customers, votes, or patronage"""
1160,tamp,tap or drive down by repeated light blows
1161,canvass,discuss thoroughly sort of touting
1162,minatory,menacing; threatening
1163,slate,king of blue-grey stone propose criticize
1164,stipple,paint with dots
1165,plumb,get to the root of
1166,stanch,to stop the flow of a fluid
1167,fledged,able to fly trained experienced
1168,demur,to hesitate; raise objections
1169,aspersion,slander
1170,deferential,showing respect
1171,sundry,various miscellaneous; separate
1172,blatant,noisy and rough
1173,consternation,surprise and fear; dismay
1174,cadge,to beg; to get by begging
1175,brummagem,Cheap and showy
1176,spurn,have nothing to do reject or refuse
1177,purvey,provide supply
1178,bedizen,to adorn especially in a cheap showy manner
1179,desuetude,cessation of use disuse
1180,obstreperous,noisy; loud
1181,suppliant,asking humbly beseeching
1182,countenance,to favor or approve of
1183,presumption,arrogance
1184,belabor,beat hard
1185,redoubtable,formidable causing fear
1186,balk,obstacle purposely to get on the way of
1187,supercilious,disdainful characterized by haughty scorn
1188,stygian,hence; dark; gloomy
1189,virago,a loud domineering woman a scold or nag
1190,orison,prayer
1191,trite,not new
1192,preponderance,greatness in number strength weight
1193,reprobate,person hardened in sin; one devoid of decency
1194,hermetic,sealed by fusion
1195,expiation,ending; expiring
1196,rebus,puzzle in which pictures stand for words
1197,vagary,strange act or idea
1198,imperviousness,not permitting penetration or passage; impenetrable
1199,trencherman,person who eats a lot
1200,hew,make by hard work cut (by striking)
1201,proscribe,denounce as dangerous
1202,sententious,short and pithy full of maxims/proverbs
1203,portent,omen marvelous threatening
1204,doggerel,trivial poorly constructed verse
1205,dissemble,speak or behave so as to hide something (in mind)
1206,venal,ready to do something dishonest
1207,picaresque,involving clever rogues or adventurers
1208,splenetic,bad-tempered;irritable
1209,ferret,discover by searching search
1210,petrified,taken away power (to think feel act)
1211,duress,threats to compel somebody
1212,peripatetic,wandering
1213,profligacy,shameless immorality
1214,imprecation,an invocation of evil a curse
1215,succor,assistance relief in time of distress
1216,lithe,bending; twisting
1217,mettlesome,courageous; high-spirited
1218,froward,intractable not willing to yield or comply stubborn
1219,travesty,parody/imitation
1220,fulsome,disgusting offensive due to excessiveness
1221,puissance,strength
1222,acarpous,effete no longer fertile; worn out
1223,pied,of mixed colors
1224,pileous,Covered with hair
1225,effete,infertile; worn out; weak
1226,sobriquet,nickname
1227,wend,to go proceed
1228,edacious,voracious; devouring
1229,constrain,compel
1230,fulmination,bitter protest
1231,slake,to assuage to satisfy allay
1232,nibble,show some inclination to accept (an offer)
1233,pique,hurt the pride or self-respect stir (curiosity)
1234,ponderous,heavy; bulky; dull
1235,brook,to tolerate; endure
1236,detraction,slandering verbal attack aspersion
1237,salutary,remedial wholesome causing improvement
1238,welter,turmoil a bewildering jumble
1239,repast,meal
1240,cavalcade,a procession
1241,nostrum,a quack remedy; an untested cure
1242,nonplused,greatly surprised
1243,pith,essential part force soft liquid substance
1244,refulgent,shining; brilliant
1245,stint,to be thrifty to set limits
1246,suborn,induce by bribery or something to commit perjury
1247,expatiate,to roam wander freely
1248,recondite,little known; abstruse
1249,garble,make unfair selection from facts
1250,palaver,To flatter; to cajole
1251,fustian,bombastic
1252,mince,pronounce or speak affectedly euphemize
1253,scurvy,mean; contemptible
1254,epithet,adjective
1255,sedulous,persevering
1256,prolix,tiring because too long
1257,importune,beg urgently solicit (of a prostitute)
1258,bilge,bulge; the protuberance of a cask
1259,involute,complex
1260,abraid,to awaken or rouse
1261,sere,make hard and without feeling
1262,droll,jesting
1263,descry,catch sight of see something in the distance
1264,brazen,made of brass
1265,repine,at be discontented with
1266,limn,paint portray
1267,wag,merry person
1268,coruscate,sparkle
1269,lucubrate,write in scholarly fashion
1270,crass,without refinement or sensitivity; gross.
1271,consequential,pompous self important
1272,foment,put something warm (to lessen the pain)
1273,recreancy,cowardice a cowardly giving up
1274,testiness,witness/evidence
1275,arrant,in the highest degree
1276,quibble,try to avoid by sophistication
1277,lam,a hasty escape; flight.
1278,Archaic,marked by the characteristics of an earlier period
1279,imbibe,to consume (liquids) by drinking; drink
1280,repose,rest;sleep
1281,perfunctorily,performed merely as a routine duty; hasty and superficial
1282,impasse,a position or situation from which there is no escape; deadlock
1283,pulchritudinous,physically beautiful; comely.
1284,eupeptic,good digestion
1285,Chicane,deception
1286,brobdingnagian,gigantic
1287,Exodus,a going out; a departure
1288,Rejoinder,response
1289,Furtive,"""taken,done"""
1290,introspection,examining one's own thoughts and feelings
1291,philanthropist,one who loves mankind
1292,antidote,medicine used against a poison or a disease
1293,strive,"""to make great efforts, to struggle"""
1294,ambidextrous,able to use the left hand or the right equally well
1295,precursors,"""a person or thing that precedes, as in a process or job."""
1296,retrospective,Looking back on past
1297,introvert,one who turns towards himself
1298,ambiguous,doubtful; uncertain
1299,gerontocracy,government ruled by old people
1300,aggravate,make worse; irritate
1301,braggart,boastful
1302,entice,"""attract, lure"""
1303,equilibrium,state of being balanced
1304,alleviate,make (pain) easier to bear
1305,adorn,add beauty; decorate
1306,malevolent,malicious; evil; having or showing ill will
1307,connote,"""Suggest or imply in addition to the precise, literal meaning"""
1308,abhor,to hate; to detest
1309,agile,active; quick-moving
